Wavelength_nm_,x_gamma__infty_N__SWG__14,x_gamma__infty_N__SWG__10,x_gamma__infty_N__SWG__6,x_gamma__infty_N__SWG__2,x_gamma_120_N__SWG__14,x_gamma_120_N__SWG__10,x_gamma_120_N__SWG__6,x_gamma_120_N__SWG__2,x_gamma_100_N__SWG__14,x_gamma_100_N__SWG__10,x_gamma_100_N__SWG__6,x_gamma_100_N__SWG__2,x_gamma_80_N__SWG__14,x_gamma_80_N__SWG__10,x_gamma_80_N__SWG__6,x_gamma_80_N__SWG__2,x_gamma_60_N__SWG__14,x_gamma_60_N__SWG__10,x_gamma_60_N__SWG__6,x_gamma_60_N__SWG__2
1.468,3.32957816344758,2.37827011674827,1.42696207004896,0.475654023349654,2.92554041918208,2.0896717279872,1.25380303679232,0.41793434559744,2.88473566756192,2.06052547682994,1.23631528609796,0.412105095365988,2.86614924142062,2.04724945815759,1.22834967489455,0.409449891631518,2.96568132083793,2.11834380059852,1.27100628035911,0.423668760119704
1.469,3.32980099566525,2.37842928261804,1.42705756957082,0.475685856523608,2.92578264957751,2.08984474969822,1.25390684981893,0.417968949939645,2.88476930747444,2.06054950533888,1.23632970320333,0.412109901067777,2.86575076815718,2.04696483439799,1.22817890063879,0.409392966879597,2.96426423279773,2.11733159485552,1.27039895691331,0.423466318971104
1.47,3.33002561271164,2.37858972336546,1.42715383401927,0.475717944673091,2.92602535300383,2.09001810928845,1.25401086557307,0.41800362185769,2.88480502571411,2.06057501836722,1.23634501102033,0.412115003673444,2.86535707853421,2.04668362752443,1.22801017651466,0.409336725504887,2.96285405856949,2.11632432754964,1.26979459652978,0.423264865509927
1.471,3.33025201094669,2.37875143639049,1.4272508618343,0.475750287278099,2.92626852849631,2.0901918060688,1.25411508364128,0.418038361213759,2.88484281804234,2.06060201288739,1.23636120773243,0.412120402577478,2.86496816279582,2.04640583056844,1.22784349834107,0.409281166113689,2.96145078405299,2.11532198860928,1.26919319316557,0.423064397721856
1.472,3.33048018674026,2.37891441910019,1.42734865146011,0.475782883820038,2.92651217509287,2.09036583935205,1.25421950361123,0.41807316787041,2.88488268023207,2.06063048588005,1.23637829152803,0.412126097176009,2.86458401121262,2.04613143658044,1.22767886194826,0.409226287316088,2.96005439518633,2.11432456799023,1.26859474079414,0.422864913598047
1.473,3.33071013647208,2.37907866890863,1.42744720134518,0.475815733781726,2.92675629183404,2.09054020845288,1.25432412507173,0.418108041690577,2.88492460806765,2.06066043433403,1.23639626060042,0.412132086866807,2.86420461408165,2.04586043862975,1.22751626317785,0.40917208772595,2.95866487794575,2.11333205567554,1.26799923340532,0.422666411135107
1.474,3.33094185653168,2.37924418323692,1.42754650994215,0.475848836647383,2.92700087776291,2.09071491268779,1.25442894761268,0.418142982537559,2.88496859734494,2.06069185524639,1.23641511314783,0.412138371049278,2.86382996172628,2.04559282980448,1.22735569788269,0.409118565960897,2.9572822183456,2.11234444167543,1.26740666500526,0.422468888335086
1.475,3.33117534331841,2.37941095951315,1.42764657570789,0.475882191902629,2.92724593192524,2.09088995137517,1.2545339708251,0.418177990275034,2.88501464387118,2.06072474562227,1.23643484737336,0.412144949124454,2.86346004449611,2.04532860321151,1.22719716192691,0.409065720642302,2.95590640243813,2.11136171602723,1.26681702961634,0.422272343205447
1.476,3.33141059324134,2.37957899517239,1.42774739710343,0.475915799034478,2.92749145336932,2.09106532383523,1.25463919430114,0.418213064767045,2.88506274346496,2.06075910247497,1.23645546148498,0.412151820494994,2.86309485276692,2.04506775197637,1.22704065118582,0.409013550395274,2.95453741631341,2.11038386879529,1.26623032127717,0.422076773759058
1.477,3.33164760271931,2.37974828765665,1.42784897259399,0.475949657531329,2.92773744114602,2.09124102939001,1.25474461763401,0.418248205878003,2.88511289195622,2.06079492282587,1.23647695369552,0.412158984565174,2.86273437694052,2.04481026924323,1.22688616154594,0.408962053848645,2.95317524609915,2.10941089007082,1.26564653404249,0.421882178014164
1.478,3.3318863681808,2.37991883441486,1.42795130064891,0.475983766882972,2.92798389430881,2.09141706736344,1.25485024041806,0.418283413472688,2.88516508518615,2.06083220370439,1.23649932222264,0.412166440740878,2.86237860744472,2.0445561481748,1.22673368890488,0.408911229634959,2.95181987796062,2.10844276997187,1.26506566198312,0.421688553994374
1.479,3.332126886064,2.38009063290286,1.42805437974171,0.476018126580571,2.9282308119137,2.09159343708122,1.25495606224873,0.418318687416244,2.88521931900721,2.060870942148,1.2365225652888,0.412174188429601,2.86202753473319,2.04430538195228,1.22658322917137,0.408861076390456,2.95047129810052,2.10747949864323,1.26448769918594,0.421495899728645
1.48,3.3323691528167,2.38026368058336,1.42815820835001,0.476052736116671,2.92847819301926,2.0917701378709,1.25506208272254,0.41835402757418,2.88527558928307,2.06091113520219,1.23654668112132,0.412182227040439,2.86168114928545,2.04405796377532,1.22643477826519,0.408811592755064,2.94912949275881,2.10652106625629,1.26391263975378,0.421304213251259
1.481,3.33261316489628,2.38043797492591,1.42826278495555,0.476087594985183,2.92872603668658,2.09194716906184,1.2551683014371,0.418389433812368,2.88533389188858,2.06095277992042,1.23657166795225,0.412190555984083,2.86133944160669,2.04381388686192,1.22628833211715,0.408762777372384,2.94779444821264,2.10556746300903,1.26334047780542,0.421113492601806
