Wavelength_nm_,m
1502.224,-0.0747692406188744
1502.228,-0.0747692377114332
1502.232,-0.0747692348460863
1502.236,-0.0747692320228987
1502.24,-0.0747692292413467
1502.244,-0.0747692265015837
1502.248,-0.074769223803793
1502.252,-0.0747692211476918
1502.256,-0.0747692185331987
1502.26,-0.0747692159604189
1502.264,-0.0747692134289181
1502.268,-0.0747692109388089
1502.272,-0.0747692084899528
1502.276,-0.074769206082198
1502.28,-0.0747692037153575
1502.284,-0.0747692013891919
1502.288,-0.074769199103471
1502.292,-0.0747691968581363
1502.296,-0.0747691946530655
1502.3,-0.074769192488341
1502.304,-0.07476919036381
1502.308,-0.0747691882791797
1502.312,-0.0747691862350238
1502.316,-0.0747691842308691
1502.32,-0.0747691822666151
1502.324,-0.0747691803421926
1502.328,-0.0747691784579602
1502.332,-0.074769176613817
1502.336,-0.0747691748095217
1502.34,-0.0747691730452877
1502.344,-0.0747691713213344
1502.348,-0.074769169637238
1502.352,-0.0747691679932133
1502.356,-0.0747691663891215
1502.36,-0.0747691648249024
1502.364,-0.0747691633006621
1502.368,-0.0747691618165175
1502.372,-0.0747691603724991
1502.376,-0.0747691589682486
1502.38,-0.0747691576038783
1502.384,-0.0747691562793534
1502.388,-0.0747691549950922
1502.392,-0.0747691537506771
1502.396,-0.0747691525463483
1502.4,-0.0747691513816037
1502.404,-0.0747691502568927
1502.408,-0.0747691491722294
1502.412,-0.0747691481273447
1502.416,-0.0747691471223733
1502.42,-0.0747691461570129
1502.424,-0.0747691452314469
1502.428,-0.0747691443454769
1502.432,-0.0747691434987004
1502.436,-0.0747691426913434
1502.44,-0.074769141923336
1502.444,-0.0747691411942414
1502.448,-0.0747691405037597
1502.452,-0.0747691398520779
1502.456,-0.0747691392391544
1502.46,-0.0747691386651685
1502.464,-0.074769138129638
1502.468,-0.074769137632801
1502.472,-0.0747691371744618
1502.476,-0.0747691367541379
1502.48,-0.0747691363722118
1502.484,-0.0747691360284814
1502.488,-0.0747691356959051
1502.492,-0.0747691354313768
1502.496,-0.0747691352346292
1502.5,-0.0747691351053221
1502.504,-0.0747691350433737
1502.508,-0.0747691350484831
1502.512,-0.0747691351202155
1502.516,-0.0747691352587177
1502.52,-0.0747691354635296
1502.524,-0.0747691357342668
1502.528,-0.0747691360708839
1502.532,-0.0747691364732162
1502.536,-0.07476913694105
1502.54,-0.0747691374736884
1502.544,-0.0747691380705724
1502.548,-0.0747691387317435
1502.552,-0.0747691394566955
1502.556,-0.0747691402450901
1502.56,-0.0747691410966766
1502.564,-0.0747691420107461
1502.568,-0.0747691429870294
1502.572,-0.0747691440253931
1502.576,-0.0747691451252225
1502.58,-0.0747691462861277
1502.584,-0.0747691475078052
1502.588,-0.0747691487898687
1502.592,-0.0747691501319541
1502.596,-0.0747691515341083
1502.6,-0.0747691529957092
1502.604,-0.0747691545161424
1502.608,-0.0747691560953507
1502.612,-0.0747691577333436
1502.616,-0.0747691594297073
1502.62,-0.0747691611840382
1502.624,-0.0747691629958405
1502.628,-0.0747691648647484
1502.632,-0.0747691667903242
1502.636,-0.0747691687721975
1502.64,-0.0747691708100813
1502.644,-0.0747691729038785
1502.648,-0.0747691750530507
